           hetero_est  error_est
BOK02        0.010000   0.001000
BOK05        0.010000   0.001000
BOK06        0.010000   0.001000
BOK07        0.010000   0.001000
BOK08        0.001050   0.018244
BOK11        0.010000   0.001000
BOK12        0.010000   0.001000
BOK13        0.010000   0.001000
BOK14        0.010000   0.001000
CRM01        0.010000   0.001000
CRM02        0.010000   0.001000
CRM03        0.010000   0.001000
CRM04        0.010000   0.001000
CRM05        0.010000   0.001000
CRM06        0.010000   0.001000
CRM08        0.010000   0.001000
CRM09        0.010000   0.001000
CRM10        0.010000   0.001000
CRM11        0.001036   0.000128
HHT02        0.010000   0.001000
HHT03        0.010000   0.001000
HHT04        0.010000   0.001000
HHT06        0.010000   0.001000
HHT09        0.010000   0.001000
HRM02        0.010000   0.001000
HRM07        0.010000   0.001000
HRM08        0.010000   0.001000
HUX07        0.010000   0.001000
HUX08        0.010000   0.001000
HUX10        0.010000   0.001000
HUX14        0.010000   0.001000
KDN03        0.010000   0.001000
KDN07        0.010000   0.001000
KDN12        0.010000   0.001000
KGL04        0.010000   0.001000
KGL06        0.010000   0.001000
KGL07        0.010000   0.001000
KOA04        0.010000   0.001000
KOA07        0.010000   0.001000
KOB01        0.010000   0.001000
KOB10        0.010000   0.001000
KOB15        0.010000   0.001000
KOC02        0.010000   0.001000
KOC11        0.010000   0.001000
KOC14_LN2    0.010000   0.001000
KOK02        0.010000   0.001000
KOK03        0.010000   0.001000
KOK05        0.010000   0.001000
KOK11        0.010000   0.001000
KOK12        0.010000   0.001000
KOK13        0.010000   0.001000
LLB01        0.010000   0.001000
LLB02        0.010000   0.001000
LLB07        0.010000   0.001000
LLB12        0.010000   0.001000
LLB13        0.010000   0.001000
SCL03        0.010000   0.001000
SCL06        0.010000   0.001000
SCL07        0.010000   0.001000
SCL09        0.010000   0.001000
STW01        0.010000   0.001000
STW02        0.010000   0.001000
STW03        0.010000   0.001000
STW07        0.010000   0.001000
STW10        0.010000   0.001000
STW12        0.010000   0.001000
TMR02        0.010000   0.001000
TMR07        0.010000   0.001000
TMR10        0.010000   0.001000
TMR11        0.010000   0.001000
TMR12        0.010000   0.001000
TMR13        0.010000   0.001000
VSG02        0.010000   0.001000
VSG05        0.010000   0.001000
VSG08        0.010000   0.001000
VSG09        0.010000   0.001000
