           reads_raw  trim_adapter_bp_read1  trim_quality_bp_read1  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
BOK02              3                      0                      0                     0                         0                    3
BOK05              2                      0                      0                     0                         0                    2
BOK06              3                      0                      0                     0                         0                    3
BOK07              4                      0                      0                     0                         0                    4
BOK08             11                      0                      0                     0                         0                   11
BOK11              1                      0                      0                     0                         0                    1
BOK12              2                      0                      0                     0                         0                    2
BOK13              2                      0                      0                     0                         0                    2
BOK14              1                      0                      0                     0                         0                    1
CRM01              1                      0                      0                     0                         0                    1
CRM02              3                      0                      0                     0                         0                    3
CRM03              3                      0                      0                     0                         0                    3
CRM04              3                      0                      0                     0                         0                    3
CRM05              2                      0                      0                     0                         0                    2
CRM06              2                      0                      0                     0                         0                    2
CRM08              2                      0                      0                     0                         0                    2
CRM09              1                      0                      0                     0                         0                    1
CRM10              1                      0                      0                     0                         0                    1
CRM11             11                      0                      0                     0                         0                   11
HHT02              1                      0                      0                     0                         0                    1
HHT03              2                      0                      0                     0                         0                    2
HHT04              1                      0                      0                     0                         0                    1
HHT06              1                      0                      0                     0                         0                    1
HHT09              3                      0                      0                     0                         0                    3
HRM02              3                      0                      0                     0                         0                    3
HRM07              1                      0                      0                     0                         0                    1
HRM08              1                      0                      0                     0                         0                    1
HUX07              1                      0                      0                     0                         0                    1
HUX08              3                      0                      0                     0                         0                    3
HUX10              3                      0                      0                     0                         0                    3
HUX14              2                      0                      0                     0                         0                    2
KDN03              2                      0                      0                     0                         0                    2
KDN07              1                      0                      0                     0                         0                    1
KDN12              1                      0                      0                     0                         0                    1
KGL04              1                      0                      0                     0                         0                    1
KGL06              1                      0                      0                     0                         0                    1
KGL07              1                      0                      0                     0                         0                    1
KOA04              1                      0                      0                     0                         0                    1
KOA07              2                      0                      0                     0                         0                    2
KOB01              1                      0                      0                     0                         0                    1
KOB10              2                      0                      0                     0                         0                    2
KOB15              1                      0                      0                     0                         0                    1
KOC02              1                      0                      0                     0                         0                    1
KOC11              1                      0                      0                     0                         0                    1
KOC14_LN2         24                      0                      0                     0                         0                   24
KOK02              1                      0                      0                     0                         0                    1
KOK03              3                      0                      0                     0                         0                    3
KOK05              4                      0                      0                     0                         0                    4
KOK11              1                      0                      0                     0                         0                    1
KOK12              1                      0                      0                     0                         0                    1
KOK13              1                      0                      0                     0                         0                    1
LLB01              1                      0                      0                     0                         0                    1
LLB02              2                      0                      0                     0                         0                    2
LLB07              3                      0                      0                     0                         0                    3
LLB12              1                      0                      0                     0                         0                    1
LLB13              1                      0                      0                     0                         0                    1
SCL03              3                      0                      0                     0                         0                    3
SCL06              1                      0                      0                     0                         0                    1
SCL07              2                      0                      0                     0                         0                    2
SCL09              1                      0                      0                     0                         0                    1
STW01              6                      0                      0                     0                         0                    6
STW02              1                      0                      0                     0                         0                    1
STW03              1                      0                      0                     0                         0                    1
STW07              1                      0                      0                     0                         0                    1
STW10              4                      0                      0                     0                         0                    4
STW12              1                      0                      0                     0                         0                    1
TMR02              1                      0                      0                     0                         0                    1
TMR07              1                      0                      0                     0                         0                    1
TMR10              1                      0                      0                     0                         0                    1
TMR11              1                      0                      0                     0                         0                    1
TMR12              1                      0                      0                     0                         0                    1
TMR13              1                      0                      0                     0                         0                    1
VSG02              1                      0                      0                     0                         0                    1
VSG05              2                      0                      0                     0                         0                    2
VSG08              2                      0                      0                     0                         0                    2
VSG09              2                      0                      0                     0                         0                    2
